lambda,L,n_obs,n_signals,first_signal_time
0.1,1.5,17307,16851,2024-01-01T10:00:00Z
0.1,1.6,17307,16838,2024-01-01T10:10:00Z
0.1,1.7,17307,16825,2024-01-01T10:10:00Z
0.1,1.8,17307,16808,2024-01-01T10:10:00Z
0.1,1.9,17307,16786,2024-01-01T10:20:00Z
0.1,2,17307,16765,2024-01-01T10:20:00Z
0.1,2.1,17307,16748,2024-01-01T10:20:00Z
0.1,2.2,17307,16732,2024-01-01T10:30:00Z
0.1,2.3,17307,16716,2024-01-01T10:30:00Z
0.1,2.4,17307,16700,2024-01-01T10:30:00Z
0.1,2.5,17307,16689,2024-01-01T10:40:00Z
0.2,1.5,17307,16849,2024-01-01T09:50:00Z
0.2,1.6,17307,16835,2024-01-01T09:50:00Z
0.2,1.7,17307,16823,2024-01-01T09:50:00Z
0.2,1.8,17307,16806,2024-01-01T09:50:00Z
0.2,1.9,17307,16784,2024-01-01T09:50:00Z
0.2,2,17307,16760,2024-01-01T09:50:00Z
0.2,2.1,17307,16746,2024-01-01T09:50:00Z
0.2,2.2,17307,16732,2024-01-01T10:00:00Z
0.2,2.3,17307,16712,2024-01-01T10:00:00Z
0.2,2.4,17307,16697,2024-01-01T10:00:00Z
0.2,2.5,17307,16689,2024-01-01T10:00:00Z
0.3,1.5,17307,16849,2024-01-01T09:40:00Z
0.3,1.6,17307,16834,2024-01-01T09:40:00Z
0.3,1.7,17307,16823,2024-01-01T09:50:00Z
0.3,1.8,17307,16805,2024-01-01T09:50:00Z
0.3,1.9,17307,16783,2024-01-01T09:50:00Z
0.3,2,17307,16759,2024-01-01T09:50:00Z
0.3,2.1,17307,16745,2024-01-01T09:50:00Z
0.3,2.2,17307,16732,2024-01-01T09:50:00Z
0.3,2.3,17307,16711,2024-01-01T09:50:00Z
0.3,2.4,17307,16696,2024-01-01T09:50:00Z
0.3,2.5,17307,16688,2024-01-01T09:50:00Z
0.4,1.5,17307,16848,2024-01-01T09:40:00Z
0.4,1.6,17307,16833,2024-01-01T09:40:00Z
0.4,1.7,17307,16824,2024-01-01T09:40:00Z
0.4,1.8,17307,16805,2024-01-01T09:40:00Z
0.4,1.9,17307,16784,2024-01-01T09:40:00Z
0.4,2,17307,16759,2024-01-01T09:40:00Z
0.4,2.1,17307,16744,2024-01-01T09:50:00Z
0.4,2.2,17307,16732,2024-01-01T09:50:00Z
0.4,2.3,17307,16711,2024-01-01T09:50:00Z
0.4,2.4,17307,16696,2024-01-01T09:50:00Z
0.4,2.5,17307,16688,2024-01-01T09:50:00Z
0.5,1.5,17307,16849,2024-01-01T09:30:00Z
0.5,1.6,17307,16834,2024-01-01T09:30:00Z
0.5,1.7,17307,16823,2024-01-01T09:40:00Z
0.5,1.8,17307,16805,2024-01-01T09:40:00Z
0.5,1.9,17307,16783,2024-01-01T09:40:00Z
0.5,2,17307,16758,2024-01-01T09:40:00Z
0.5,2.1,17307,16744,2024-01-01T09:40:00Z
0.5,2.2,17307,16732,2024-01-01T09:40:00Z
0.5,2.3,17307,16712,2024-01-01T09:40:00Z
0.5,2.4,17307,16696,2024-01-01T09:50:00Z
0.5,2.5,17307,16688,2024-01-01T09:50:00Z
0.6,1.5,17307,16848,2024-01-01T09:30:00Z
0.6,1.6,17307,16833,2024-01-01T09:30:00Z
0.6,1.7,17307,16824,2024-01-01T09:30:00Z
0.6,1.8,17307,16806,2024-01-01T09:30:00Z
0.6,1.9,17307,16783,2024-01-01T09:40:00Z
0.6,2,17307,16758,2024-01-01T09:40:00Z
0.6,2.1,17307,16744,2024-01-01T09:40:00Z
0.6,2.2,17307,16731,2024-01-01T09:40:00Z
0.6,2.3,17307,16712,2024-01-01T09:40:00Z
0.6,2.4,17307,16696,2024-01-01T09:40:00Z
0.6,2.5,17307,16689,2024-01-01T09:40:00Z
0.7,1.5,17307,16848,2024-01-01T09:30:00Z
0.7,1.6,17307,16833,2024-01-01T09:30:00Z
0.7,1.7,17307,16823,2024-01-01T09:30:00Z
0.7,1.8,17307,16805,2024-01-01T09:30:00Z
0.7,1.9,17307,16784,2024-01-01T09:30:00Z
0.7,2,17307,16758,2024-01-01T09:30:00Z
0.7,2.1,17307,16744,2024-01-01T09:40:00Z
0.7,2.2,17307,16731,2024-01-01T09:40:00Z
0.7,2.3,17307,16711,2024-01-01T09:40:00Z
0.7,2.4,17307,16696,2024-01-01T09:40:00Z
0.7,2.5,17307,16688,2024-01-01T09:40:00Z
0.8,1.5,17307,16848,2024-01-01T09:30:00Z
0.8,1.6,17307,16833,2024-01-01T09:30:00Z
0.8,1.7,17307,16823,2024-01-01T09:30:00Z
0.8,1.8,17307,16805,2024-01-01T09:30:00Z
0.8,1.9,17307,16784,2024-01-01T09:30:00Z
0.8,2,17307,16758,2024-01-01T09:30:00Z
0.8,2.1,17307,16745,2024-01-01T09:30:00Z
0.8,2.2,17307,16732,2024-01-01T09:30:00Z
0.8,2.3,17307,16711,2024-01-01T09:40:00Z
0.8,2.4,17307,16696,2024-01-01T09:40:00Z
0.8,2.5,17307,16688,2024-01-01T09:40:00Z
0.9,1.5,17307,16849,2024-01-01T09:20:00Z
0.9,1.6,17307,16833,2024-01-01T09:30:00Z
0.9,1.7,17307,16823,2024-01-01T09:30:00Z
0.9,1.8,17307,16805,2024-01-01T09:30:00Z
0.9,1.9,17307,16783,2024-01-01T09:30:00Z
0.9,2,17307,16758,2024-01-01T09:30:00Z
0.9,2.1,17307,16745,2024-01-01T09:30:00Z
0.9,2.2,17307,16732,2024-01-01T09:30:00Z
0.9,2.3,17307,16712,2024-01-01T09:30:00Z
0.9,2.4,17307,16696,2024-01-01T09:40:00Z
0.9,2.5,17307,16688,2024-01-01T09:40:00Z
